Coarse-Grained Algorithm:

Number of distinct colours used: 71

timetaken in microseconds= 179909μs
timetaken in milliseconds= 179.909milli seconds

Assigned colours:
vertex-914 colour-55
vertex-915 colour-55
vertex-916 colour-56
vertex-917 colour-36
vertex-918 colour-53
vertex-919 colour-62
vertex-920 colour-53
vertex-921 colour-33
vertex-922 colour-62
vertex-923 colour-42
vertex-924 colour-43
vertex-925 colour-12
vertex-926 colour-56
vertex-927 colour-44
vertex-928 colour-28
vertex-929 colour-43
vertex-930 colour-56
vertex-931 colour-62
vertex-932 colour-62
vertex-933 colour-35
vertex-934 colour-32
vertex-935 colour-48
vertex-936 colour-41
vertex-937 colour-27
vertex-938 colour-17
vertex-939 colour-36
vertex-940 colour-64
vertex-941 colour-52
vertex-942 colour-39
vertex-943 colour-51
vertex-944 colour-41
vertex-945 colour-20
vertex-946 colour-57
vertex-947 colour-42
vertex-948 colour-32
vertex-949 colour-18
vertex-950 colour-64
vertex-951 colour-50
vertex-952 colour-21
vertex-953 colour-58
vertex-954 colour-57
vertex-955 colour-23
vertex-956 colour-31
vertex-957 colour-55
vertex-958 colour-29
vertex-959 colour-54
vertex-960 colour-13
vertex-961 colour-40
vertex-962 colour-57
vertex-963 colour-58
vertex-964 colour-62
vertex-965 colour-53
vertex-966 colour-43
vertex-967 colour-52
vertex-968 colour-54
vertex-969 colour-59
vertex-970 colour-46
vertex-971 colour-53
vertex-972 colour-30
vertex-973 colour-18
vertex-974 colour-17
vertex-975 colour-6
vertex-976 colour-30
vertex-977 colour-57
vertex-978 colour-44
vertex-979 colour-44
vertex-980 colour-55
vertex-981 colour-19
vertex-982 colour-59
vertex-983 colour-54
vertex-984 colour-47
vertex-985 colour-13
vertex-986 colour-54
vertex-987 colour-19
vertex-988 colour-61
vertex-989 colour-64
vertex-990 colour-34
vertex-991 colour-58
vertex-992 colour-52
vertex-993 colour-58
vertex-994 colour-43
vertex-995 colour-59
vertex-996 colour-44
vertex-997 colour-16
vertex-998 colour-59
vertex-999 colour-53
vertex-1000 colour-54
